Correct, Wrong
talak, tabak	talawk	tdalak	thlak	taltk	ltalak	tyalak	otalak	tawak	talafk
tou, tosu	bou	touf	tcou	tfou
zindah, zineah	zindahy	zinmdah	zizdah	gindah	zindahg	zindqh	zindaih	zindawh	zindaho
aya, ayt	ayea	ayaj	ayd
pagal, pvgal
all, qll	alul	kll	allh	ael	alwl
iss, igss	isc
pas, pys
tarbiyat, tsarbiyat	tarnbiyat	talrbiyat	tadrbiyat	tarbieyat	tarbiyit	taprbiyat	tarbiywt	tarbhyat
bhar, hhar	bhary	boar	bhsar	nbhar	bhaxr	bnhar	bhakr	brhar
re, rbe	rje	rde	e	rpe
hifazat, hifazgat
sunna, dsunna	sunnea	sucna	sunnca	sunnla	sznna	sgnna	nsunna	sunnga	suhnna
tawajah, tawavjah	tawxjah	tawjaah	oawajah
kitaab, okitaab
la, lpa
at, a	atr	atg	atf	atj	awt	aet	xat	atk
hogi, hzogi	hoqi	hdgi	howgi	hogt	hvgi	khogi	togi	hogih	hogsi
nikal, nikalk	ntikal	niwkal	nfkal	nikaa	nikapl	nwikal	nkial
barah, barahz	barakh	bmarah	bkrah	bbarah	basah	barnah
mauqa, masuqa	mauqas	myauqa
shakal, shakap	shakalm	shakbl
zahir, zahij	zchir	qahir	zahiwr	pzahir	zaeir	zaihr	zyhir
bht, btht	biht	sbht	bhts	hht	bhtd	bhct	bhbt
aaye, ahye	abye	aaqye	aazye	aamye	aayb	uaye	aays	aabe	azye
bandi, banndi	bandik
oi, ioi	oiu	oif	i	uoi	oik	oio
janab, janzb	janlb	jhanab
takleef, takleefc	takleew	taklhef	bakleef	ztakleef	qtakleef	taklbeef
ou, xu	owu	ouu	oup	oau	aou	oeu	zou	oug	oju
fir, fcr	fkr	firw	filr	ofir	zir	fri
larka, lalrka	larkd	larha	larkb
wapas, dwapas	wnpas	wapasr	wapasb	wkapas
buland, bulagnd	bulaned	suland	bulank	dbuland	abuland
dam, damr	dhm	mdam
baras, barzas	baraas
satke, matke	satuke	sttke	yatke	satken	satku
iski, fski	igski	isfki	isii	bski	ikski	isni	iskij	tski	iswki
darmiyan, darmiyna	dearmiyan	darmiian
maloom, maloomi	maloam	malvoom	maloopm	maloow	mnloom	mazoom	manloom	malonm
tasweer, taswewr	tasweezr	taswceer	taswecer	tasweekr	tasweexr	talweer	taswleer	tasweed	taswdeer
andaza, vandaza	andnza	bandaza	ankdaza	andza	aedaza	anqaza	gandaza	andkza	andazsa
sahi, ysahi	sphi	sahij	fahi	saqhi	sahiw	zahi	dsahi	sasi	sajhi
kay, kaz	vkay	kmay	kpy	kauy	ikay	kxay
chakkar, cehakkar	chokkar	chakkak	chalkkar	chakkarn	cbakkar	chykkar	xchakkar
hun, hlun	hjn
kyu, kju	kyb	tyu	kyum	kyuj	akyu	kxyu	khyu	syu
show, showr	showg	shof	schow	shohw	smow	shoh
safar, snafar	safazr	sjafar	szfar	sasar	safaro	seafar	asafar	safas
waisa, waish	saisa	waiga	waisc
pak, paek	pwak
khham, hhham	khyham	krhham	ekhham
para, ptara	pajra
pyar, pybar	pyalr	pyfar	pyzr	pkar
yahi, jyahi	ybhi
aankh, aamnkh	aankf
magar, mqagar
shukriya, shukrgya	shukrimya	shgukriya	sfukriya	shuxriya	shuvriya	shukreya	shukrpiya	shukrjya
mehfooz, mehdfooz	meehfooz	mehcooz	mehbooz	hmehfooz	mehuooz
mojood, mojoxd	mcjood	msjood	mojoodo
taajjub, taajjubo	ytaajjub	taaxjub	taajaub	taajyub	taxajjub	taajbub
sach, sacjh	sbch	snch	rach	sac	safch
baz, bazk	bakz	bjz	beaz	bxz	bazs	bauz	bazh	bwz	baxz
jao, juao	jmao	jvao	jaco	jrao	joao	iao
sawal, sazwal	sawatl	esawal	ysawal	sawafl	isawal
umhara, uqhara	fmhara	umghara	umfara	uvmhara	uxmhara	umhwra	umhagra	ujhara
maiz, maimz	muaiz	maiqz	mciz	maixz	mniz
safaid, safaidz	safaiad	bsafaid	sapfaid	safaoid	safalid	sufaid	sataid	jsafaid	safakd
tehat, vehat	tzehat	tehzt	rehat	tehht	tesat	trhat	trehat
jaise, jaisoe	jraise	jaisex	javse	jaiswe	jaixe	jdise	jaish	jaiseb
subah, sxbah	xsubah	spubah	srbah	subgah	subahv	sbuah
hn, xhn	qhn	hnd
azad, azap	aizad	vzad	uazad	azd
ak, akw	qak	aqk	adk	zak
jin, jink	jic	bjin	jifn	jinq	jinc	jvn	jinm
baap, daap	baaf
ere, eure	eie	fere	eje	lre	eoe	nere	eyre
alfaaz, azfaaz	ilfaaz	dlfaaz
rhi, rhri	wrhi	nrhi	qhi	rhiv	rhd
azeer, azegr	uazeer	azetr	azheer	ageer	azeerz
kala, kabla	lkala	kalta	kadla	kanla	kzala	kalu
khamosh, kfamosh	khamodsh	hhamosh
iya, iyy
eri, eria	zeri	ecri	erix	erji	erdi	erie	erv
chaar, cmaar	chaay	chaazr
ikhtiyar, irhtiyar	ikhtiyah	ikhtiyfr	dkhtiyar	iakhtiyar	ikhtisyar	ikhoiyar	hikhtiyar	ikhtbyar
one, onet	oce	oune	onej	qne	yne	wone	ooe	onte	oae
odi, odir	bodi	odie	fdi	wodi	odis	odiu
phone, phgone	phonei	phoune	phonw	pjone	phonn
aisay, aiysay	aisway	aissay	xaisay	aisfay	aisac	aisaby
umdah, umdahr	umnah	umdha
hathyaaron, halhyaaron	hatbyaaron	hathyaarod	hathyaaroan	hatmyaaron	hzathyaaron	hatchyaaron	hatshyaaron
thats, thatas	taats	thnts	thath	thaets	tqats	tnats
ae, aeg	aec	a	aeh	ael	e	aeb	axe	aep	iae
kro, qkro	fkro	krok	krj
kharab, kharub	kharaeb	kearab	khkrab	kfarab	kcharab	khwarab	khfrab	khatrab
bajaye, bvajaye	bacjaye
jawan, jswan	yawan	jaway	jawvan
es, esw	pes	esl	esr	ejs	efs	s	esk
yaar, yaoar	yazr	yxaar	yaavr	yaor	yaaq
insaan, insban
intikhab, intikhal	inaikhab	intikhad	intiphab	inhtikhab
chor, chdor	dchor	cpor	ichor	chox	chour	bchor	ceor
video, videod	cideo	vidxeo	nideo	videxo	vaideo	lvideo	videvo
tabdeel, tqbdeel
kholna, kcolna	khblna	kholni
aye, iaye	caye	ayoe
gayab, gasyab	mgayab
beta, zbeta	bceta	beyta	bqta
ishara, isharua	ishnara	bshara	isharva	isohara	ibhara	isfara	ishajra	xshara	lishara
hone, hione	honq	honej	hoxne	honeo	honek
dainay, dainaoy	dainkay	dainat	daoinay	dafinay	dzinay	dbinay	dainayk
nd, npd	nad	ndc	nwd	vnd
haqeeqi, haqeeqif	vhaqeeqi	khaqeeqi	vaqeeqi	haqeyeqi
aati, aatit	aaii	ajti
aakhri, qakhri	aajkhri	xaakhri
ujhe, ujghe	ujyhe
tab, tuab	trb	tav	tapb
bolna, bovlna	bolnba	bolza
ta, taf	fta	xta	tja	taw	tav	tla	mta
pheink, pheisnk
movie, movke	movibe	movte	moie
een, cen	eevn	eej	eeb	eenu	neen	eenj	eegn
tay, tajy	ktay	ctay	tany	ptay
barabar, barasbar	barabarm	pbarabar	birabar	fbarabar	baorabar
hamaray, hamairay	hamatay	hbmaray	hasaray	hawaray	hfamaray	damaray	hamariay
sahib, sdhib	csahib	sauib	samib	sahuib	swahib	sapib	sshib	sahvb
mukhtasir, mukhtasilr	mnkhtasir	mukhtmsir	mukktasir	mukhtzsir
chalna, chllna	chbalna	chslna	lhalna	gchalna	chalfa	chelna	chalnaz	cvhalna	cqalna
milna, milnxa	mlna	milhna	mhilna	mwlna	amilna	milnq
munaqqid, lmunaqqid	cunaqqid	munjaqqid	funaqqid	kmunaqqid
jadu, jaduc	jatu	jaddu	qjadu	jaju	jadh	juadu	jodu
kkhuda, dkhuda	kkhpuda	kkhudat	kkhudh	kkhlda	kkvuda	kkhudal	kkhudc	kkhida	kkhuba
his, hisc	phis	hisj	hiu	hijs	dhis	xhis	gis
bhaari, bhgaari	bhsaari	bhaarai	tbhaari	bhauari	bmhaari	bhaabri
pna, xpna	gna	pnat	pnda	pmna	pnaa	pfa	jpna	pnar
akela, alkela
socha, stcha	socfa	syocha	sochas	socqha	sohca	sochaj
muntaqil, mukntaqil	xuntaqil
tar, qar	wtar	ktar	tzar	taz
poori, pkori
daant, daxnt	daacnt	daantz	adant	faant	daamnt	dajant	daanto	daanyt
maamla, maamlg
deewar, deewlar	deewav	deewur	deewam	depewar	deewzr	cdeewar	deewdr	deewtar	deewfr
tabassum, tabamsum	wtabassum	tabassfum	tabaissum
hote, hotie	hohe	hotqe	hoteg	hotge	fote	bote	hete
bithana, bithacna	zithana	bithnna	bitfana	bithjna	bitehana	biphana	pbithana	abithana	bilthana
maqsad, maqpsad	maqsah	muqsad	hmaqsad	maqiad	mcaqsad	vaqsad	maqsqad
gir, eir
was, wax	swas	cwas	wasm	gwas	wasu	wws	wxas
sipahi, sipazi	sipati	stipahi	siphai	sinahi	sipahmi	sigpahi
anay, unay	aunay	anly	dnay	hanay
der, dier
hamla, hamua	shamla	hwmla	hamlax	hampla	hmamla
team, heam	tqam	telam	tepm	ttam	ieam	tsam	teax	teom
mun, wun	mund	muon	munt	muo	mxn	muvn	mue	muun	msn
sara, ssra	sarwa
mara, mtara	marau	marj
goli, glli	golvi	goeli	gozi
hoon, ehoon	hoos	homon	eoon	hodn	hooq	hoonp
reh, rbh	zreh	oeh	roeh	rgeh	reth	ref	relh	reuh	rreh
dekho, dekdho	drkho	ndekho	dekfho	dxekho	qdekho	dvekho
talwar, tawlar	talwear
merica, meerica
use, usf	useb	cuse	vse	usb
uthana, ubhana	uithana	othana	uthlna	wuthana	uthabna	uthaua	uthania
khandan, khgndan	khansan	kandan	khanadan	nkhandan
tang, tangq
uss, auss	ussx	usc	uqss	ussb	usxs	xss	usfs	usns	uyss
pouncha, zpouncha
vo, vow	nvo	vz
up, upd	upt	aup	upi
ut, uzt	utf	uot	ujt	utz
saath, saatoh	saatth	szath	sapth	ysaath	saayth	faath	saatyh	sabath
line, lfne	lifne	livne
school, schoovl	schofol	scahool	schlol	schoom
roka, roeka	rokga	rioka	koka
likha, likhae	lhkha	likma	yikha	likgha	lioha	lixkha	liklha
balkay, gbalkay	balkya	balkary	bllkay	balkax	baxkay
baazu, baezu	baayu	baaku	baamu	baazuv	wbaazu	baazru	babazu	yaazu
nafrat, nafradt	naafrat	nafrwat	nafrvt	nefrat
cheet, chlet	cheetg	cheext	cheeit	echeet	choet	cheetw	scheet	cheetb
garam, garvam	garaam	gmaram	hgaram	giram	ganam	garlm	garhm	gadam	gaeam
araha, arhha	earaha	arara	adaha	arahar	varaha
maar, mwaar
we, wce	wxe
sakti, takti	shkti	sakyti
barri, barari	barrgi	baeri	baryri	earri	biarri
dia, dca	diad
aasaan, aasaaf	wasaan	fasaan	aasaal	aaasaan	aasraan
hotay, hotayg	hotae	hotzay	ohotay	hortay	hotsay
shadi, shddi	shadfi	shadie
dora, dorua	drra	dork	djra	dfora
mujh, mujuh	nmujh	mujmh	iujh	msujh	mujhu	mujs	eujh	mujch
kehta, kvehta	kehoa	nkehta	kehts	kehvta	kehtja	kehth
filmon, felmon	ilmon
hukum, hukupm	zukum	hukzum	hukxum	hukbum	hukpm	hukrm	hhukum	hskum	hukgm
khawab, khaawab	khavab	khowab	khaiab	khawak	shawab	khbwab	khlwab
party, paryty	cparty
taham, tahm	ztaham	tahamt	tahanm	tahcm
two, twol	twd	twz	dtwo	twuo	otwo
qadam, qwdam	qsadam	qadak	qddam	qadasm	qadaj
tere, tire	rtere	terz	btere	tpere
zabaan, zabcan	zakbaan	gabaan	zabajan	zkbaan	zabaam	zabaahn	zgbaan	zlabaan
baab, raab	qaab	bayb	vbaab	bayab	oaab	bahab
chup, cnhup	chwp	chdp
darja, daurja	draja	dmarja	darjn	darjp	rarja	dsarja	dvrja	dartja	darjza
howa, howad
en, n	cen	ern	enw	xn	emn	enj	fen	xen	e
manzar, mawnzar	maenzar	manzan	amanzar	manqzar	manzaro	manzaxr
fikar, oikar	fikaq	fikafr	fikab	fnikar	fikaqr	fiakr	ffkar	fikgr
rehne, rehnen	rehng	rehnne
pta, ptga
kitna, kitnq	kistna	kitnha	kwitna	krtna	kitwna	fkitna	kpitna
our, uor	ouqr	zur	ouc	outr	ougr	ouwr	eur	wur	omr
lana, lanb	yana	lanaj	lqna	lwana	lwna	loana
kha, koha
khan, ukhan
maazi, madazi	maczi	maaiz	magzi	macazi
nahin, nahtin	naohin	nakhin	naqin	nahimn	ncahin	nahwin	nkahin
douran, rouran	dlouran	douradn	douuran	dourang	douraf	edouran
couldnt, couldnyt	couldvt
aksar, askar	akfsar
shak, dshak	shakj	shmak	shvk
nuqta, nxuqta	nuqtga	vuqta	muqta	nufqta	nuqtz	nuqua
by, byj	byh	bys	bly	mby	bym	byn	byl	jby
malik, mayik	malqk	fmalik	magik	malip	malib	mwalik	malzk	maleik	macik
ro, rlo	rro	roa	ryo
vote, vfote	votne	vbte	vqte	eote	votej
khaiz, khiz	kzhaiz	khaniz	kghaiz
inhen, onhen
hen, heyn	heu
number, numbej	numbes	rumber	numbeur	numbem	nutber	ncumber	nuwber	dumber
ky, k	kym	jky	kdy	y
love, luve	nove	lxve	lonve	louve	lovg	lokve
badshah, badszah	badshsah	baishah
her, hefr	hevr	hder	wer	hert	hep
samandar, zamandar	samandarm	sjamandar	samvndar	samakdar	samsandar	samandarj
media, medeia	fmedia	medif
ura, urac	uraz
kamiyabi, kampiyabi	kamikyabi	ktamiyabi
sid, std	sicd	yid	sixd	tid	spd	sids
zor, zur	zwor
bistar, biutar	blistar	bpstar	bistac	bistcar	bipstar	bistark	bidtar	bistart	bmistar
ik, i	jik	vik	ijk	iko	ifk	ikl	ikt	itk
pehle, pehfle
eu, yeu
choti, chotmi	chgti	cehoti	chsti	cxoti	chcoti	chgoti	chotp
gar, gamr	gyar	gpr	gsar	gyr	sgar	gcar	gmr
kiye, kiaye	kiyex	kpye	kiyre	kiyd	kife	kiyue	jkiye	kkye
bil, bpl	bijl	bibl	bilj	bix	bll
khaali, khagli	ykhaali	khaaeli
gai, gaik	gapi
den, dwen	dwn	ded	dejn
from, fromf	fkrom	fdrom	dfrom	fmrom	zfrom	fuom	frvm	froma
mutabiq, muttabiq
karam, karaem	kargam	oaram	karqm	akaram	karamg	karxam	karamy	karaqm
pa, paf	ppa
darya, derya
chhorna, cfhhorna	chhoorna	chhorgna	hhorna	chhobrna	chhorla
janwar, janwfr	janwaxr	jwnwar	hjanwar	janwaa	jahwar	janawar	janwayr
pay, paey	paly	xpay	pmy	hpay	pafy	pvay	pty	tpay
khawateen, kiawateen	khasateen	khawaneen	khawfateen	khagwateen	khewateen	khdwateen	khawatgen	khakateen	khawatdeen
masla, masda	maela	maslsa	xmasla
raaz, traaz	roaaz	oaaz	ralz	raqz
izafah, izafad	izavfah	izafaih	qzafah
uthna, ufthna	utcna
teri, terid
lagi, lqagi	laqi
kare, kaire	kagre	karee	kzare	ktare	kage	ktre
hazaar, hazaau	hazaakr	hazaal	hanaar	sazaar	hazaavr	lazaar	hazaabr
qayadat, qalyadat	tayadat
ah, ahw	auh
kin, kdin	kjn	kixn	kic	vin	kinj
pan, qpan	ppn	pajn	pkn	cpan	pjan	psan	pabn
pahiyah, pahgiyah	pahfiyah	pafhiyah	pahiynh	spahiyah	pahiyaw
mutaliq, mutalin
taizi, taqzi	taizih	ataizi	taazi	taizil	taizoi	taizji
ilm, idm	ildm	zlm	glm	iulm	iilm
bulaa, abulaa	bulab	bulba	buolaa	aulaa	bublaa	bulafa
az, maz	ajz	aez	azs
ein, eien	eiln	eain	eix	lin	eit	epn
adakari, adkaari	adakabri	adakarqi
mansoobah, mansoobagh	mansoogbah	mansogobah	mansoobahz	mansoobahp	hmansoobah	mansnoobah
hal, hjal	hpl	haf	haln	nhal	hoal	hagl	halg
gali, gnli	garli	gabi	yali	gavli	gazi
sona, sjona	sovna	stna	ysona	sonat
poocha, poopcha	poochfa	pcocha	pofcha	povocha	poochap
aapko, aapkot	afapko	ampko	gaapko	awpko	aapno	eapko
pur, pumr	paur	ptr	bpur	pyur	pjur
group, cgroup	egroup	gropp	gromup
hamari, hamarzi	hmamari	hamarid	hamafi	hlmari
ishtihar, ishnihar	ishstihar	ishtiahar	ishbihar	ishtikhar	ishtihaer
maaf, masaf	maagf
pehli, pefli	pelhli
ibtidayi, ibtidayk	ibtddayi	ibtioayi	ibtmdayi	ibtidaygi	ibtidayx
dr, zdr	dwr	ndr	drb	xdr	dnr
krna, tkrna	grna	fkrna	kbna
out, omut	oujt	eut	obt	okut	kout
gehra, jgehra	gevra	wgehra	gyhra	gehrpa	ngehra	gvehra	zehra	gehrj
bachon, uachon	bbachon	cbachon	buachon	backhon	bacton
aks, aksa	aksg	aeks	akss	akbs	akv
ooraj, rooraj	oiraj	ooraji	hooraj	mooraj	xooraj	oorgj	omraj
kehlata, kehltata	kehlatae
qismat, qismam	kqismat
bardasht, byrdasht	barddsht
khona, khonaf	khonua	kfhona	khdona	tkhona	khnona	mhona	khhna
ia, iae	iaq	iax	iak	iaf
jama, jrma	jjma	jamk	jamva
haq, haql	ohaq	hpq
talluq, gtalluq	tgalluq	valluq	tallpuq	taolluq	tallaq	tallkq	zalluq	tawlluq
tarteeb, tarteb
barray, kbarray	barrgy	byarray	bareay
modi, kmodi	mxdi	omdi	mrdi	modil	moii	mrodi	modz
josh, jofh	qjosh
hazrat, hazfat	ahazrat	haxzrat	hayzrat
imarat, imarav	itarat	imaratc
paanch, paancl	pmanch	pzanch	pmaanch	psaanch	paaych	upaanch	paanche
buri, buir	burif	bhri	bpuri	burvi	burw	buuri	pburi
nisaab, nisaabz	nisaasb	eisaab	ntsaab	nisaai
tarah, tarqh	tvrah	wtarah	tarahz	darah
laal, laazl	loaal	latl
jora, jorw	jorag
lehaza, lehsza	nlehaza	lehuza	lethaza	lehaoza	lehazac	lyhaza
appy, aphpy	appk	appj	appjy	vappy	apgy	anpy	ampy	aopy	apepy
usko, ufko	ubsko	usuko	uskk	useko	jsko	uskq	uskqo	uksko	uskoa
zareya, zvreya	zareyan	zkreya	zraeya	aareya	zakeya	zaoeya
support, supiort
ikathay, ikatqhay	ikathmay	uikathay	ikaehay	ikauthay	ikaithay	ikathayy	irkathay	ikathxay
tareen, atreen	tareden	rareen	tareeni	taraeen	tnareen	tarenn	tazeen	tpreen
ham, hvm	hhm	hbm
bhaag, bhzag	bhaaeg	zbhaag	bhaalg	bhazg	bhaagf
awam, awzm	axwam	awamk	awabm	arwam	bwam	sawam	awap	aewam
meer, imeer	mear	meec	meeor	meeq	meear
chore, chdore	chkre	choore	jhore	hcore	cbore	chaore	cbhore
soorat, soorata	usoorat	shoorat
bananay, bananam	bawanay	bdnanay	banwnay	bananaqy	bannanay
auqaat, anuqaat	auqant	auqaan	zuqaat	auqaaa	auqayt	auqalt	auqaaj
phaar, phyar	phwaar	phbaar	phkar	phaazr	phaaz	pdhaar
banaya, bafaya	banayax	badnaya	banayt	janaya	banayay	ybanaya	zbanaya
mulk, mulxk	mutk	mulqk	aulk	mnulk	mulkg	iulk	kulk	mulhk	mulm
apki, awki
gaari, gmaari	gaarvi	gvaari	gaarin	rgaari	gaakri	gsaari
sarrak, sbrrak	sarrwak	saryak	sarrtak
bawajood, bawfjood	bawajozod	boawajood	bbawajood	bawafood	bawarjood
aankhon, aaknkhon	ainkhon	aankron	aanklon	aankhun
ghulam, ghvulam	ghudlam	ighulam	ghuuam	ghblam
kehte, kehe	uehte	kehtl	sehte
das, adas	deas	dasc	daws	dasf	daes	daj
kab, ekab
beti, betui	lbeti
can, cna	xcan	casn	cnn	cgan
sakte, saktw	sakhe	sacte	ksakte	sakae
pahonch, pahonth	pahonnch	paponch	ahonch	pmhonch
dukh, dunh	dukhm	dukhl	dukxh	ndukh	mdukh	dukhr
jamaat, jamaam	jamaaht	jamaah	jamgaat	jamaao	jamaaa	jamaht	jawmaat	jamaxt
anzoor, anlzoor	ancoor	anzoorm	anzoxr	asnzoor	anzor	anzobr
patla, patl	ipatla	xatla	paqla	katla	patlk	jatla
bayan, bayawn	baoyan	bacan	baypn
waghera, wagherr	wzghera	wsghera	waghara	waghxra	wagphera
please, xlease	qlease	plelse	vlease	pdlease	pleaspe	plegse	pleaso	tplease	plemse
chahay, chahad	cwhahay	chahary	chahayt	chahayg	schahay
sakht, jsakht	sakut	shkht
sardar, sardvar	szrdar	sjardar	smardar
faisla, yfaisla	faislwa	fanisla	feisla	faisfa	faislb	naisla	faislga	famisla	ifaisla
hukla, hukln	hukqla	huklab	hukbla	htkla	hukaa
kaisay, kaisas
uthaya, uthayfa	uthcaya	uthaqa	uthatya	uthfya
tumhe, tugmhe	ftumhe	utumhe	thumhe	dumhe	mumhe
pait, paitw	paitj	paitq	hpait	paitx	pxait	paigt	prait
kaise, oaise	kaiseb	kaire	qkaise	kapse	kavise	fkaise
ilawa, ilalwa	ixlawa
tawanai, tawania	pawanai	txawanai	tawanao	tnwanai	tawasai	gawanai	tawanaih
bulana, bmulana	bulaqa	bulanma	bubana	bulkna	bulania	bulanao	bulanav
mazboot, maznoot	mazbvot	mfzboot	mazbooi	mazbooc	mhazboot	mazioot	mlzboot	mrazboot	gazboot
jatay, jatasy	jutay
kere, kpre	jkere	kede	xkere
tareekh, tareeih	taceekh	tajreekh	tarevekh	taeeekh	tateekh	tbareekh	tarwekh	tareegkh
mei, meei	jmei
ahistagi, anistagi	ahistafi
lutaf, lutafs
pakistan, dakistan	pakisptan	pcakistan	pakistaq	pfkistan	jpakistan	pakiswan	pakisqtan
bs, cbs	bws	bys	ybs	dbs
ghhor, ghqhor	gxhhor	gihhor	ghhoh	ghgor
wazeh, weazeh	waczeh	wazej	wadzeh	kwazeh	wgzeh
samjha, samjba	sramjha	samjhj	samcha	samjgha	samjxa	scmjha
sharaab, ysharaab	shyraab	sharaabz
tasawwur, tasawwu	tasawwbr	tasamwur	tasawwumr	htasawwur	tqsawwur	tasawwurk	tasawjur
hesiyat, hesiyuat
pass, pbass	pasjs	passx	pasv	wpass	tpass
good, gtod	gobd	goodv	cood	gaood	zgood
wasee, rwasee	wasvee	waseve	lasee
dua, dxa	dja	djua	duea	doua	mdua	adua	idua	duma
aar, aavr	aarf	aawr	xaar	apar	apr	aalr	aarg
khoola, khogla	kvoola	khoolax	khoolya	kyhoola	khoolao
walon, twalon
just, jusw	juqst	jast	juit	jdst	wust
isharay, ishyaray	isnaray	iysharay	bisharay	ishawray
life, lufe	lifew	lifet	olife	tife
nisf, nidsf	nuisf	nhisf	nisfb	nwisf	nisj
fouj, foluj
intizam, intizgam	inbtizam	imntizam	intvzam	uintizam	intizkam	ittizam
chupna, churpna	chupfa
barhna, barhnha	bxarhna
diye, diyd	diyq	adiye	diyet	diae	dinye
assar, alssar	asisar	nssar	assare	dassar	aasar	assae	assmr	assari	assarr
samaan, samana	samfan	sajmaan	samacan
zaati, zahti	zaahi	zaeti	zajti	zaazti	zaapi	zagti	zvaati	zaatif
py, ppy	phy	pyx	pyc	npy
shanakht, shanafkht
jan, gjan
parhna, parhnb	parhnla	dparhna	parhns	rparhna	rarhna	parhrna	parhnr
saathi, sasthi	saatxi
saans, saafs	saasn	isaans	saarns	samans	saaxns	saanes
afraad, afrlaad	afrwaad
jungle, cungle	junglew
phool, phuool	phnool	phoob	phcol	phoom	phooj	phxool	kphool	phobl	phokol
toota, toooa	tooga	tootar
bhoot, bhootp	bhcoot	bhcot	bhooti
kaatna, kgatna	kalatna	bkaatna	kaatnh	kaatnf	faatna	kaatena	gkaatna
man, matn	mayn	mwn
pahar, paohar	paaar	puahar	ptahar	xahar	pahrr	padhar	spahar
dilchasp, dilcdhasp	dilchagp	dilchyasp	diglchasp
urdu, jurdu	udrdu	rudu	urdxu	qrdu
tera, ttra	terqa	ptera	tela
ambaar, ajmbaar	admbaar	ambaiar	ambaaq	ambaarx	ambaaj
wohi, wozi	woyi	woli	wodhi	wbhi	wohl	wuhi	wohpi
doosri, dorosri	doorsri	dqosri
mand, masnd	mandy	rmand	mandc	mandh	maznd	manj	mnad
mazhaka, mazhakma	maczhaka	mazbhaka	mgzhaka	mawhaka	mazhaba	mamzhaka	mazhakja
tumhari, tumhaji	tumharei	tomhari	tumhayi	tumhanri	tsmhari	tumhargi	ztumhari	tumshari	tumxhari
ker, khr	keer	qker	kep	kerd	kelr	rker
idharth, idhatth	idhareth	idharts	idharvth	idhartht	idharwth	zdharth	idhartv	tdharth
pakra, pbkra	pakea	pakrah	pakxa	pakrm	pakrea
daagh, daagsh	iaagh	daagl	daaghw	daigh	daagw	dazagh
sarkar, slrkar	sfrkar	sbrkar	warkar	sprkar	sarkazr	sarkarb	sdrkar	saerkar	sarsar
beech, bewech	beechb	beecch	beyech	tbeech	beegch	beechd
boss, bosus	bosfs	bosys	bosk	doss	baoss	bosm	bossr	bosso	bossh
mran, umran	mral
khayalat, khalalat	dhayalat	hayalat	khayaliat	khtayalat	shayalat	khayaladt	khayazlat	khamalat
aasman, qasman	aalsman	aasmln	oasman	aaskman	aaosman	aasmax	aasmqn	aasgman
uska, qska	buska
uchak, uochak
une, urne	uane	uneg	uone	qne	mune	iune	uune	unce
uske, aske	duske	usket	uuske	uake	upske	uskee	usks	ushke	uskez
khidmat, fkhidmat	khtidmat	kgidmat
pairwi, npairwi	pairwd	paijwi	pairwiv
qowat, qpowat	qowaf	qowot	qowatq
pi, jpi	ppi	pji
saamna, asaamna	savamna	svamna	saamnna	saamia	snamna	saafna	sbamna	saamnia
rakhnay, rhkhnay	rakhnafy	rackhnay	krakhnay	rkakhnay	raokhnay	rakuhnay	raknnay
ind, ikd	indb	inzd	iond	ild	iqnd	iund	inyd	indf
sana, hsana
khwahish, kxhwahish	khwgahish	krhwahish	khwahisk	khwafish	khwahiqsh	khwdhish	khwmhish
krne, krnpe	krhe	kmne
uski, uskb
dekhte, devhte	dekht	aekhte	dekrhte	dekbte	dekmhte	dekhtbe	dekhpte	defkhte
post, postj	posat	postz	pest	poszt	pojt
com, ecom	cot	cqm	cwm	cojm	cozm	coi	coum
maarna, maajrna	xmaarna	maarnqa	majrna
zada, zaia	ztada	zadac	zbada	zjada	zadm	zaqa
betha, ebtha	bcetha	ybetha	zetha	betgha
kami, kamio	lkami	kamj	kavmi	kwami	kvami	iami
hukoomat, hukoosat
ow, ouw	ogw	okw	owy
rehta, zrehta	reihta	pehta	rwhta	rcehta	rehyta	erhta	rvehta	rehtea	rehnta
zikar, zimar	pikar	zikanr	ziklar	zvikar	zikaor	eikar	yikar	lzikar
simt, bsimt	sitmt	simk	wimt	simrt
ara, alra
mota, mopa	mfota	motpa	moota
insan, insai	insand	inlan	inhan	iznsan	jinsan	ihsan	insaln	insaqn	einsan
libaas, lzbaas	olibaas	libaar	lvibaas	dlibaas
krte, krtef	krtje	krtme
wa, pwa	zwa	wna	w	wz	wav	wax	fwa	wya	wea
tareef, wtareef	tarecef	tareefv	taeref	taremf	tarenef	vareef	stareef	xareef	tarkeef
parwah, paroah
badal, badaj	bedal	sadal	badabl
mumkin, mutkin	dumkin	mumkihn	zumkin	mumkinr	muemkin	qumkin	mumken	nmumkin
barf, bnrf	barfl	bmrf	bsrf	baaf
naak, naaqk	snaak	nzak	lnaak	uaak	nxaak	naark	naakq
gay, gayn	xay	gayb	ngay	vay	ogay	gayj	gqy	gcy	cay
barha, farha	barhw
durust, durrust	dubust
roshan, roschan
waisay, waisac	waiscay	waisly	waiday
rab, raeb	ral	rdab	rpab	rabh	ryb	rgb	razb	rabo	zrab
reham, rteham	mreham	rejam	rehaz
galat, gahlat	gallat	gaklat	galajt	igalat	galact	galtat	talat	galats
